 * Serving Flask app 'app' (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on all addresses.
   WARNING: This is a development server. Do not use it in a production deployment.
 * Running on http://172.31.19.8:5000/ (Press CTRL+C to quit)
179.185.45.146 - - [21/Nov/2023 16:37:04] "POST /postIST3 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:37:07] "POST /postIST3 HTTP/1.1" 200 -
170.150.206.103 - - [21/Nov/2023 16:37:07] "GET /fluxo?codprod=1132628 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:37:09] "POST /postIST3 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:37:12] "POST /postIST3 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:37:15] "POST /postIST3 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:37:18] "POST /postIST3 HTTP/1.1" 200 -
170.150.206.103 - - [21/Nov/2023 16:37:18] "GET /fluxo?codprod=1132628&codseq=1 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:37:20] "POST /postIST3 HTTP/1.1" 200 -
170.150.206.103 - - [21/Nov/2023 16:37:22] "GET /fluxo?codprod=1132628&codseq=1 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:37:23] "POST /postIST3 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:37:26] "POST /postIST3 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:37:29] "POST /postIST3 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:37:32] "POST /postIST3 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:37:35] "POST /postIST3 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:37:38] "POST /postIST3 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:37:41] "POST /postIST3 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:37:43] "POST /postIST3 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:37:46] "POST /postIST3 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:37:49] "POST /postIST3 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:37:52] "POST /postIST3 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:37:54] "POST /postIST3 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:37:57] "POST /postIST3 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:38:00] "POST /postIST3 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:38:03] "POST /postIST3 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:38:06] "POST /postIST3 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:38:09] "POST /postIST3 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:38:12] "POST /postIST3 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:38:14] "POST /postIST3 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:38:20] "POST /postIST3 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:38:23] "POST /postIST3 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:38:26] "POST /postIST3 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:38:29] "POST /postIST3 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:38:32] "POST /postIST3 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:38:35] "POST /postIST3 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:38:37] "POST /postIST3 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:38:40] "POST /postIST3 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:38:43] "POST /postIST3 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:38:46] "POST /postIST3 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:38:49] "POST /postIST3 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:38:51] "POST /postIST3 HTTP/1.1" 200 -
170.150.206.103 - - [21/Nov/2023 16:38:53] "GET /fluxo_detail?codprod=1132628&codseq=1 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:38:54] "POST /postIST3 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:38:57] "POST /postIST3 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:39:00] "POST /postIST3 HTTP/1.1" 200 -
170.150.206.103 - - [21/Nov/2023 16:39:01] "GET /fluxo_detail?codprod=1132628&codseq=2 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:39:02] "POST /postIST3 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:39:05] "POST /postIST3 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:39:08] "POST /postIST3 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:39:11] "POST /postIST3 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:39:14] "POST /postIST3 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:39:17] "POST /postIST3 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:39:20] "POST /postIST3 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:39:22] "POST /postIST3 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:39:25] "POST /postIST3 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:39:28] "POST /postIST3 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:39:31] "POST /postIST3 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:39:34] "POST /postIST3 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:39:37] "POST /postIST3 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:39:39] "POST /postIST3 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:39:42] "POST /postIST3 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:39:45] "POST /postIST3 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:39:48] "POST /postIST3 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:39:51] "POST /postIST3 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:39:54] "POST /postIST3 HTTP/1.1" 200 -
179.185.45.146 - - [21/Nov/2023 16:39:57] "POST /postIST3 HTTP/1.1" 200 -
